,1,2,3
1.42,5.079598306059123e-06,7.069494074891214e-06,6.67512336805138e-09
1.43,5.217483379818901e-06,7.392186774544407e-06,7.301677836621663e-09
1.44,5.358878734661256e-06,7.728602658665674e-06,7.985050257956052e-09
1.45,5.503866718958911e-06,8.079275165916493e-06,8.730198169238885e-09
1.46,5.6525314086162555e-06,8.444756073736938e-06,9.542493134700353e-09
1.47,5.804958637557518e-06,8.825616018938048e-06,1.042775361250985e-08
1.48,5.961236028594375e-06,9.222445028182809e-06,1.1392280277854274e-08
1.49,6.121453024674014e-06,9.635853058312591e-06,1.2442893972510616e-08
1.5,6.285700920506599e-06,1.0066470546475744e-05,1.3586976461989087e-08
1.51,6.454072894572125e-06,1.0514948969988073e-05,1.483251419253892e-08
1.52,6.626664041507669e-06,1.0981961415854887e-05,1.6188145252285454e-08
1.53,6.803571404873e-06,1.1468203159860162e-05,1.7663209753248623e-08
1.54,6.984894010294229e-06,1.1974392255109161e-05,1.926780386420225e-08
1.55,7.170732898986618e-06,1.2501270129910927e-05,2.1012837738233523e-08
1.56,7.3611911616525495e-06,1.304960219484851e-05,2.2910097593401477e-08
1.57,7.556373972755805e-06,1.3620178458885232e-05,2.4972312220301845e-08
1.58,7.75638862516973e-06,1.4213814154325521e-05,2.7213224206357693e-08
1.59,7.961344565197357e-06,1.4831350370437215e-05,2.964766618358927e-08
1.6,8.171353427963933e-06,1.547365469551738e-05,3.2291642424353244e-08
1.61,8.386529073176362e-06,1.614162186716816e-05,3.516241612800438e-08
1.62,8.606987621249524e-06,1.6836174430520354e-05,3.827860276095136e-08
1.6300000000000001,8.832847489797847e-06,1.755826340413457e-05,4.1660269832898304e-08
1.6400000000000001,9.064229430486198e-06,1.830886895326911e-05,4.532904351322003e-08
1.6500000000000001,9.301256566240463e-06,1.9089001070196035e-05,4.930822251376051e-08
1.6600000000000001,9.544054428813231e-06,1.9899700261221998e-05,5.362289968749231e-08
1.67,9.792750996700485e-06,2.0742038240029536e-05,5.8300091816535974e-08
1.68,1.0047476733406172e-05,2.1617118626951076e-05,6.336887808847582e-08
1.69,1.0308364626051607e-05,2.2526077653749256e-05,6.886054778592587e-08
1.7,1.0575550224324175e-05,2.347008487345734e-05,7.480875774187138e-08
1.71,1.0849171679760312e-05,2.4450343874794702e-05,8.124970014149658e-08
1.72,1.1129369785360482e-05,2.546809300066246e-05,8.822228128082338e-08
1.73,1.1416288015527617e-05,2.652460607018072e-05,9.576831192327905e-08
1.74,1.1710072566326393e-05,2.7621193103703718e-05,1.0393270992670672e-07
1.75,1.2010872396056472e-05,2.8759201050231348e-05,1.1276371584665271e-07
